k,mean accuracy,mean log loss
364,0.872882,0.09960802
365,0.872882,0.10006323
366,0.872882,0.100535646
367,0.872882,0.1009985
368,0.872882,0.10144746
369,0.87268895,0.10179709
370,0.87268895,0.10228358
371,0.87268895,0.10277881
372,0.87268895,0.10327927
373,0.87230283,0.10350897
374,0.87230283,0.1040076
375,0.87230283,0.10450055
376,0.87230283,0.10500015
377,0.87230283,0.105461255
378,0.87230283,0.1059895
379,0.8721098,0.10635126
380,0.8721098,0.10683787
381,0.8721098,0.10733427
382,0.8721098,0.10781063
383,0.8717238,0.10806428
384,0.8717238,0.1085289
385,0.8717238,0.109040394
386,0.8719168,0.10970606
387,0.8717238,0.11005151
388,0.8717238,0.110555336
389,0.8717238,0.111087024
390,0.8717238,0.11161505
391,0.87153065,0.11201079
392,0.8717238,0.11268493
393,0.8717238,0.113207534
394,0.8717238,0.11372592
395,0.8719168,0.1143833
396,0.8719168,0.114895046
397,0.8719168,0.11541567
398,0.8719168,0.11593457
399,0.8719168,0.11644566
400,0.8719168,0.116946734
401,0.8719168,0.117456414
402,0.8719168,0.11795946
403,0.8719168,0.118464135
404,0.8719168,0.11894168
405,0.8719168,0.11940696
406,0.8719168,0.11988692
407,0.8719168,0.120337926
408,0.8719168,0.120820895
409,0.8717238,0.12118741
410,0.8717238,0.12168996
411,0.87153065,0.12205187
412,0.87153065,0.12252605
413,0.87153065,0.12301366
414,0.87153065,0.12349121
415,0.87153065,0.12400945
416,0.87172365,0.1246569
417,0.87172365,0.12514058
418,0.87172365,0.12562896
419,0.87172365,0.12612966
420,0.87172365,0.12663004
421,0.87172365,0.12713699
422,0.87172365,0.1276066
423,0.87172365,0.12810366
424,0.87172365,0.12857085
425,0.87172365,0.1290631
426,0.87172365,0.12954982
427,0.87172365,0.13001385
428,0.87172365,0.13050468
429,0.87172365,0.13099721
430,0.87172365,0.1314834
431,0.87172365,0.13198863
432,0.87191665,0.13261333
433,0.87191665,0.13310087
434,0.87191665,0.13362
435,0.87191665,0.13413139
436,0.87191665,0.13463756
437,0.87191665,0.13515311
438,0.87191665,0.1356648
439,0.87191665,0.13618153
440,0.87191665,0.13670716
441,0.87172365,0.13709712
442,0.87172365,0.13761762
443,0.87172365,0.13815424
444,0.87172365,0.13871117
445,0.87172365,0.13925038
446,0.87172365,0.13979462
447,0.87172365,0.14032733
448,0.87172365,0.14087403
449,0.8719168,0.14158303
450,0.8721098,0.1422738
451,0.8719168,0.14269258
452,0.87172365,0.14312811
453,0.87172365,0.14371826
454,0.87172365,0.14431661
455,0.8713376,0.14462455
456,0.8713376,0.14521448
457,0.8713376,0.14579126
458,0.8713376,0.14633717
459,0.8709515,0.14664045
460,0.8709515,0.14720099
461,0.8709515,0.14777118
462,0.8709515,0.1483149
463,0.8709515,0.14885661
464,0.8709515,0.14939713
465,0.8709515,0.14996397
