k,mean accuracy,mean log loss,start time(ms),end time(ms),Elapsed time(ms)
214,0.94289714,0.06406984,1.54E+12,1.54E+12,43230
215,0.94289714,0.06414009,1.54E+12,1.54E+12,46526
216,0.94289714,0.06423162,1.54E+12,1.54E+12,45059
217,0.94289714,0.06429311,1.54E+12,1.54E+12,44770
218,0.94289714,0.06437041,1.54E+12,1.54E+12,44436
219,0.94289714,0.06445794,1.54E+12,1.54E+12,44129
220,0.94289714,0.064521745,1.54E+12,1.54E+12,46079
221,0.94289714,0.06459654,1.54E+12,1.54E+12,46336
222,0.94289714,0.06465562,1.54E+12,1.54E+12,46128
223,0.94289714,0.064750105,1.54E+12,1.54E+12,45652
224,0.942704,0.06470746,1.54E+12,1.54E+12,46407
225,0.942704,0.0647739,1.54E+12,1.54E+12,47586
226,0.94212484,0.0644621,1.54E+12,1.54E+12,50279
227,0.94212484,0.06454764,1.54E+12,1.54E+12,47699
228,0.94212484,0.06470033,1.54E+12,1.54E+12,47928
229,0.94212484,0.0647738,1.54E+12,1.54E+12,48737
230,0.94212484,0.06491424,1.54E+12,1.54E+12,49515
231,0.94212484,0.06499385,1.54E+12,1.54E+12,49036
232,0.94193333,0.06494242,1.54E+12,1.54E+12,49003
233,0.94193333,0.06505322,1.54E+12,1.54E+12,50544
234,0.94193333,0.06520969,1.54E+12,1.54E+12,50088
235,0.94193333,0.065271154,1.54E+12,1.54E+12,51700
236,0.94193333,0.06534785,1.54E+12,1.54E+12,52634
237,0.94193333,0.065415874,1.54E+12,1.54E+12,54190
238,0.94193333,0.065474086,1.54E+12,1.54E+12,54721
239,0.94193333,0.06554488,1.54E+12,1.54E+12,56047
240,0.94193333,0.065649755,1.54E+12,1.54E+12,57424
241,0.94193333,0.0658888,1.54E+12,1.54E+12,53552
242,0.94193333,0.065937504,1.54E+12,1.54E+12,57970
243,0.94193333,0.0660168,1.54E+12,1.54E+12,57735
244,0.94193333,0.06607697,1.54E+12,1.54E+12,54305
245,0.94193333,0.06613724,1.54E+12,1.54E+12,54443
246,0.94193333,0.066212654,1.54E+12,1.54E+12,54207
247,0.9421264,0.066465914,1.54E+12,1.54E+12,57212
248,0.9421264,0.06654176,1.54E+12,1.54E+12,55209
249,0.9421264,0.06668153,1.54E+12,1.54E+12,58578
250,0.9421264,0.06679501,1.54E+12,1.54E+12,57724
251,0.9421264,0.066905156,1.54E+12,1.54E+12,60304
252,0.9421264,0.0669949,1.54E+12,1.54E+12,60433
253,0.9421264,0.06713801,1.54E+12,1.54E+12,61088
254,0.9423194,0.06743623,1.54E+12,1.54E+12,61822
255,0.9423194,0.06755814,1.54E+12,1.54E+12,61902
256,0.9421264,0.0675534,1.54E+12,1.54E+12,65097
257,0.9421264,0.06783034,1.54E+12,1.54E+12,71801
258,0.9421264,0.06800908,1.54E+12,1.54E+12,66811
259,0.9421264,0.06827242,1.54E+12,1.54E+12,66108
260,0.9421264,0.06837009,1.54E+12,1.54E+12,66201
261,0.9421264,0.06854703,1.54E+12,1.54E+12,67796
262,0.9421264,0.06876065,1.54E+12,1.54E+12,68345
263,0.9421264,0.06888054,1.54E+12,1.54E+12,69136
264,0.9421264,0.06901404,1.54E+12,1.54E+12,70082
265,0.9421264,0.0691145,1.54E+12,1.54E+12,69132
266,0.9421264,0.06922007,1.54E+12,1.54E+12,69584
267,0.9421264,0.069292925,1.54E+12,1.54E+12,71964
268,0.94193333,0.06923634,1.54E+12,1.54E+12,72105
269,0.94193333,0.06930937,1.54E+12,1.54E+12,72536
270,0.94193333,0.06936051,1.54E+12,1.54E+12,73778
271,0.9421264,0.06958993,1.54E+12,1.54E+12,77110
272,0.94193333,0.06948936,1.54E+12,1.54E+12,75976
273,0.9423208,0.0698388,1.54E+12,1.54E+12,75972
274,0.94251394,0.07004233,1.54E+12,1.54E+12,77157
275,0.94251394,0.07011677,1.54E+12,1.54E+12,78814
276,0.94251394,0.070143774,1.54E+12,1.54E+12,81119
277,0.94251394,0.0701819,1.54E+12,1.54E+12,84848
278,0.94251394,0.07024154,1.54E+12,1.54E+12,85146
279,0.9423208,0.07015303,1.54E+12,1.54E+12,89238
280,0.9423208,0.07019096,1.54E+12,1.54E+12,91887
281,0.9423208,0.070242256,1.54E+12,1.54E+12,92912
282,0.94270563,0.07056208,1.54E+12,1.54E+12,93909
283,0.94270563,0.07063054,1.54E+12,1.54E+12,93783
284,0.94270563,0.070719674,1.54E+12,1.54E+12,93956
285,0.94289863,0.07093355,1.54E+12,1.54E+12,95849
286,0.94289863,0.07100773,1.54E+12,1.54E+12,94449
287,0.94289863,0.071090415,1.54E+12,1.54E+12,97644
288,0.94289863,0.07116757,1.54E+12,1.54E+12,101438
289,0.94289863,0.07125582,1.54E+12,1.54E+12,99185
290,0.94289863,0.07134372,1.54E+12,1.54E+12,98163
291,0.94289863,0.07143003,1.54E+12,1.54E+12,99255
292,0.94289863,0.07152073,1.54E+12,1.54E+12,97796
293,0.94289863,0.07159515,1.54E+12,1.54E+12,98548
294,0.94289863,0.07168244,1.54E+12,1.54E+12,98830
295,0.94289863,0.07176645,1.54E+12,1.54E+12,98361
296,0.94289863,0.07186306,1.54E+12,1.54E+12,101018
297,0.94289863,0.07194232,1.54E+12,1.54E+12,106130
298,0.94289863,0.07202095,1.54E+12,1.54E+12,111379
299,0.94289863,0.07209325,1.54E+12,1.54E+12,101597
300,0.9430917,0.072301194,1.54E+12,1.54E+12,103850
301,0.94289863,0.07224153,1.54E+12,1.54E+12,101025
302,0.94289863,0.072356835,1.54E+12,1.54E+12,104564
303,0.94270563,0.07236872,1.54E+12,1.54E+12,105944
304,0.94270563,0.07245435,1.54E+12,1.54E+12,104293
305,0.94270563,0.07252728,1.54E+12,1.54E+12,105128
306,0.94270563,0.07259297,1.54E+12,1.54E+12,105970
307,0.94270563,0.07269924,1.54E+12,1.54E+12,111018
308,0.9425124,0.0726364,1.54E+12,1.54E+12,116449
309,0.9425124,0.07271824,1.54E+12,1.54E+12,116965
310,0.9423194,0.072649024,1.54E+12,1.54E+12,116640
311,0.9425124,0.07288484,1.54E+12,1.54E+12,118093
312,0.9425124,0.07295489,1.54E+12,1.54E+12,117427
313,0.9425124,0.073009424,1.54E+12,1.54E+12,118361
314,0.9427055,0.07350497,1.54E+12,1.54E+12,118471
315,0.94251394,0.073429465,1.54E+12,1.54E+12,118879
316,0.94251394,0.07349127,1.54E+12,1.54E+12,117500
317,0.94251394,0.073550634,1.54E+12,1.54E+12,107632
318,0.94290006,0.074072264,1.54E+12,1.54E+12,111344
319,0.94290006,0.07416247,1.54E+12,1.54E+12,111136
320,0.9430931,0.07449903,1.54E+12,1.54E+12,108793
321,0.9430931,0.07455093,1.54E+12,1.54E+12,111561
322,0.9430931,0.07465343,1.54E+12,1.54E+12,110191
323,0.9430931,0.07477534,1.54E+12,1.54E+12,111249
324,0.9430931,0.07483281,1.54E+12,1.54E+12,113622
325,0.9430931,0.07496303,1.54E+12,1.54E+12,111743
326,0.9434792,0.075345084,1.54E+12,1.54E+12,111282
327,0.9432861,0.07538267,1.54E+12,1.54E+12,115800
328,0.9434792,0.075614765,1.54E+12,1.54E+12,114861
329,0.9432861,0.075638995,1.54E+12,1.54E+12,115709
330,0.9432861,0.075698465,1.54E+12,1.54E+12,115531
331,0.94347924,0.07589588,1.54E+12,1.54E+12,117813
332,0.94347924,0.07594482,1.54E+12,1.54E+12,116335
333,0.94347924,0.075997494,1.54E+12,1.54E+12,113438
334,0.94347924,0.076048,1.54E+12,1.54E+12,115736
335,0.94347924,0.07610123,1.54E+12,1.54E+12,115610
336,0.94347924,0.07614473,1.54E+12,1.54E+12,116284
337,0.94347924,0.07628769,1.54E+12,1.54E+12,115892
338,0.9436723,0.07647003,1.54E+12,1.54E+12,116494
339,0.9436723,0.076510236,1.54E+12,1.54E+12,115781
340,0.9438654,0.0766765,1.54E+12,1.54E+12,118281
341,0.9436723,0.076596364,1.54E+12,1.54E+12,116911
342,0.9436723,0.07663645,1.54E+12,1.54E+12,119286
343,0.9436723,0.07666819,1.54E+12,1.54E+12,117589
344,0.9436723,0.076704845,1.54E+12,1.54E+12,118361
345,0.9436723,0.076740906,1.54E+12,1.54E+12,119574
346,0.9436723,0.0767773,1.54E+12,1.54E+12,117478
347,0.9436723,0.076807395,1.54E+12,1.54E+12,121830
348,0.9436723,0.0768415,1.54E+12,1.54E+12,118364
349,0.9436723,0.07688045,1.54E+12,1.54E+12,119145
350,0.9436723,0.07691337,1.54E+12,1.54E+12,119439
351,0.9436723,0.07695124,1.54E+12,1.54E+12,118181
352,0.9436723,0.07700052,1.54E+12,1.54E+12,120128
353,0.9436723,0.07703972,1.54E+12,1.54E+12,120559
354,0.9436723,0.077089235,1.54E+12,1.54E+12,120794
355,0.9436723,0.07713512,1.54E+12,1.54E+12,122535
356,0.94347924,0.07704328,1.54E+12,1.54E+12,120957
357,0.94347924,0.077086985,1.54E+12,1.54E+12,124556
358,0.94347924,0.07713241,1.54E+12,1.54E+12,121638
359,0.94347924,0.07717444,1.54E+12,1.54E+12,124009
360,0.94347924,0.07722352,1.54E+12,1.54E+12,124917
361,0.94328624,0.07714011,1.54E+12,1.54E+12,123495
362,0.94328624,0.07718281,1.54E+12,1.54E+12,124397
363,0.94328624,0.07729056,1.54E+12,1.54E+12,127372
364,0.94328624,0.07733265,1.54E+12,1.54E+12,126495
365,0.94328624,0.0773747,1.54E+12,1.54E+12,124176
366,0.94328624,0.07748024,1.54E+12,1.54E+12,124874
367,0.94328624,0.077523544,1.54E+12,1.54E+12,127517
368,0.94328624,0.07762014,1.54E+12,1.54E+12,125002
369,0.94328624,0.077705726,1.54E+12,1.54E+12,127143
370,0.9430931,0.07770256,1.54E+12,1.54E+12,127488
371,0.9430931,0.07776408,1.54E+12,1.54E+12,128582
372,0.9430931,0.077851444,1.54E+12,1.54E+12,128470
373,0.9430931,0.07790183,1.54E+12,1.54E+12,130425
374,0.9430931,0.07795367,1.54E+12,1.54E+12,130845
375,0.9430931,0.07800884,1.54E+12,1.54E+12,128308
376,0.9430931,0.078100674,1.54E+12,1.54E+12,131087
377,0.9430931,0.07814969,1.54E+12,1.54E+12,130944
378,0.9430931,0.078202024,1.54E+12,1.54E+12,131580
379,0.9430931,0.078256324,1.54E+12,1.54E+12,130062
380,0.9430931,0.07830466,1.54E+12,1.54E+12,131996
381,0.9430931,0.07837729,1.54E+12,1.54E+12,137274
382,0.9430931,0.07844051,1.54E+12,1.54E+12,139707
383,0.9430931,0.07849209,1.54E+12,1.54E+12,138757
384,0.9429,0.078376174,1.54E+12,1.54E+12,141219
385,0.94270694,0.07824265,1.54E+12,1.54E+12,142266
386,0.94251394,0.07809406,1.54E+12,1.54E+12,135962
387,0.94251394,0.0781192,1.54E+12,1.54E+12,139883
388,0.9415487,0.0774942,1.54E+12,1.54E+12,139664
389,0.9415487,0.07753994,1.54E+12,1.54E+12,139842
390,0.9415487,0.077588215,1.54E+12,1.54E+12,138921
391,0.9413557,0.07750036,1.54E+12,1.54E+12,138502
392,0.9411627,0.077414766,1.54E+12,1.54E+12,138479
393,0.9411627,0.07792318,1.54E+12,1.54E+12,140397
394,0.9411627,0.07796786,1.54E+12,1.54E+12,140347
395,0.9409696,0.07788457,1.54E+12,1.54E+12,140395
396,0.9409696,0.07792816,1.54E+12,1.54E+12,147716
397,0.9409696,0.07815754,1.54E+12,1.54E+12,140597
398,0.9409696,0.07820098,1.54E+12,1.54E+12,140753
399,0.9409696,0.078361005,1.54E+12,1.54E+12,140767
400,0.9409696,0.07840781,1.54E+12,1.54E+12,143581
401,0.9403904,0.078109175,1.54E+12,1.54E+12,140361
402,0.9403904,0.07831065,1.54E+12,1.54E+12,142598
403,0.9403904,0.078611545,1.54E+12,1.54E+12,143149
404,0.9403904,0.078786954,1.54E+12,1.54E+12,145348
405,0.9403904,0.07883149,1.54E+12,1.54E+12,146543
406,0.94038886,0.07894289,1.54E+12,1.54E+12,145613
407,0.94038886,0.078987226,1.54E+12,1.54E+12,145976
408,0.94038886,0.07903513,1.54E+12,1.54E+12,145453
409,0.94038886,0.079148576,1.54E+12,1.54E+12,143548
410,0.94038886,0.07919423,1.54E+12,1.54E+12,145268
411,0.94038886,0.07923098,1.54E+12,1.54E+12,145643
412,0.94038886,0.079340495,1.54E+12,1.54E+12,145877
413,0.9401973,0.07925304,1.54E+12,1.54E+12,147426
